region,region_population_thousands,latitude,longitude,property_type,property_age,area_sqm,bedrooms,bathrooms,floor,distance_to_center,has_elevator,has_garden,has_parking,price,address,neighborhood,construction_quality,energy_rating,last_renovation,transaction_date,price_per_sqm
Manouba,400,36.80408177601387,10.09567178296875,Apartment,21,70,2,2,6,4.4,True,False,False,114000,"29 Rue Abou Hamed El Ghazali, Apt. 16, Manouba, Tunisia",,Premium,C,2023.0,2024-01-06,1629
Gafsa,120,34.44312736966011,8.776000219302995,Apartment,1,127,4,2,4,1.9,False,True,False,266000,"36 Rue Carthage, Apt. 35, Gafsa, Tunisia",,Luxury,A,,2023-09-30,2094
Monastir,200,35.79598248424061,10.805606721548834,Villa,19,328,5,3,0,3.4,False,True,True,3252000,"9 Rue Cité Essalem, Monastir, Tunisia",Centre Ville,Standard,E,,2022-12-16,9915
Kairouan,150,35.69193992186043,10.116977381652738,Apartment,3,97,4,2,0,3.9,False,True,False,173000,"56 Avenue Farhat Hached, Apt. 2, Kairouan, Tunisia",,Good,B,,2022-01-04,1784
Ariana,350,36.84659088264186,10.192117326618611,House,21,250,5,3,0,1.8,False,True,True,1480000,"108 Avenue Jardins d'El Menzah, Ariana, Tunisia",Quartier Lac,Luxury,F,2010.0,2022-02-17,5920
Ariana,350,36.84577498873318,10.205930206449711,Apartment,12,137,1,1,3,3.2,False,False,True,327000,"2 Avenue Borj Louzir, Apt. 22, Ariana, Tunisia",Menzah 5,Basic,D,2021.0,2023-10-02,2387
Tunis,634,36.80826738840308,10.188266167335415,Apartment,31,174,4,1,8,3.0,False,False,False,475000,"196 Boulevard Bab Saadoun, Apt. 25, Tunis, Tunisia",Lac 1,Standard,E,,2024-03-26,2730
Gabès,200,33.86622434834781,10.08378729310262,House,14,127,4,2,0,6.7,False,True,True,372000,"92 Boulevard Ibn Khaldoun, Gabès, Tunisia",Résidence Jardins,Good,E,,2023-07-26,2929
Kairouan,150,35.655174866275495,10.090703376759787,Apartment,21,163,3,2,7,12.2,True,False,False,207000,"68 Rue Omar Ibn Al Khattab, Apt. 35, Kairouan, Tunisia",Résidence Centre,Standard,D,,2024-02-03,1270
Sousse,270,35.827487233066684,10.652496745699867,Apartment,24,128,2,1,2,4.3,False,False,True,288000,"21 Place Bouhsina, Apt. 40, Sousse, Tunisia",Médina,Luxury,E,2021.0,2023-04-26,2250
Tunis,634,36.814846372372934,10.178269816169987,Apartment,26,140,1,2,1,0.5,False,False,True,428000,"148 Avenue Mokhtar Attia, Apt. 3, Tunis, Tunisia",,Basic,D,2021.0,2022-06-23,3057
Gafsa,120,34.44805600571971,8.794962260028793,House,27,249,2,3,0,5.6,False,True,True,526000,"59 Boulevard Tahar Haddad, Gafsa, Tunisia",El Palmeraie,Standard,D,2012.0,2023-02-09,2112
Sfax,330,34.76210826014313,10.76167939866361,House,15,181,4,3,0,3.7,False,True,True,854000,"26 Impasse Carthage, Sfax, Tunisia",Médina,Good,F,2019.0,2022-10-05,4718
Ben Arous,600,36.74124521373966,10.205941334318236,Apartment,16,91,1,1,8,3.8,True,False,False,194000,"117 Boulevard Hannibal, Apt. 23, Ben Arous, Tunisia",,Good,D,2020.0,2023-03-05,2132
Ariana,350,36.87380424257419,10.176665149900277,Apartment,5,159,4,1,0,4.6,False,False,True,487000,"180 Rue Borj Louzir, Apt. 11, Ariana, Tunisia",,Basic,F,2023.0,2022-05-27,3063
Ariana,350,36.8526387564136,10.197223545394195,Apartment,15,98,1,2,8,5.4,False,False,False,288000,"42 Impasse Ennasr, Apt. 36, Ariana, Tunisia",,Standard,D,2013.0,2023-04-06,2939
Ben Arous,600,36.75652082938899,10.233329159849358,Apartment,7,158,3,2,6,2.9,True,False,False,512000,"176 Boulevard Carthage, Ben Arous, Tunisia",Hay Jardins,Basic,B,2023.0,2022-04-15,3241
Jendouba,100,36.48441276651749,8.775086870241083,House,19,114,2,1,0,0.8,False,True,True,216000,"15 Avenue El Ghazela, Jendouba, Tunisia",,Standard,E,2022.0,2023-03-04,1895
Nabeul,200,36.45715971135585,10.76099094323169,Villa,16,207,5,3,0,7.5,False,True,True,1458000,"81 Impasse Mohamed V, Nabeul, Tunisia",,Standard,D,2016.0,2023-04-12,7043
Ben Arous,600,36.76468155688499,10.2494301878547,Penthouse,1,214,4,3,9,2.4,True,True,True,2012000,"17 Avenue Hannibal, Ben Arous, Tunisia",Quartier Centre,Premium,C,,2022-12-26,9402
Kasserine,120,35.185310602915706,8.834985848444619,Apartment,32,143,3,1,1,15.0,False,True,False,126000,"184 Boulevard Kheireddine, Apt. 32, Kasserine, Tunisia",,Good,F,,2024-03-30,881
Ariana,350,36.84710116845682,10.203934282594627,Apartment,9,153,1,1,4,1.1,True,False,False,424000,"37 Boulevard Riadh El Andalous, Apt. 36, Ariana, Tunisia",Borj Louzir,Basic,G,2023.0,2022-05-14,2771
Ben Arous,600,36.759468978297996,10.233423458522864,Studio,4,51,0,1,6,2.4,True,True,False,66000,"68 Place Tahar Sfar, Apt. 38, Ben Arous, Tunisia",Hay Centre,Standard,B,,2022-01-10,1294
Manouba,400,36.80888929339941,10.098432830199464,Studio,14,43,0,1,8,0.9,True,False,False,47000,"93 Avenue Charles de Gaulle, Manouba, Tunisia",Hay Centre,Standard,E,2023.0,2023-01-05,1093
Zaghouan,150,36.3945221263559,10.144265634632115,Villa,19,255,6,4,0,5.6,False,True,True,1711000,"131 Impasse 14 Janvier, Zaghouan, Tunisia",,Premium,E,2021.0,2023-08-11,6710
Sfax,330,34.72547779528392,10.77555871986802,Apartment,33,147,1,1,1,4.9,False,False,True,268000,"29 Avenue Sfax El Jadida, Apt. 28, Sfax, Tunisia",,Standard,D,2011.0,2022-09-08,1823
Ben Arous,600,36.73758884773494,10.207548314494474,Villa,15,203,4,3,0,4.9,False,True,True,1647000,"17 Impasse Omar Ibn Al Khattab, Ben Arous, Tunisia",,Good,E,,2024-02-21,8113
Jendouba,100,36.49791230131786,8.789015371975303,Apartment,18,166,3,1,4,14.4,True,False,True,188000,"153 Impasse Charles de Gaulle, Apt. 36, Jendouba, Tunisia",El Lac,Premium,E,2021.0,2024-01-19,1133
Kairouan,150,35.67498584124668,10.088437706597565,House,14,116,5,3,0,2.0,False,True,True,330000,"175 Rue Habib Bourguiba, Kairouan, Tunisia",,Premium,F,,2022-12-08,2845
Tunis,634,36.80940855919452,10.173850116770609,Apartment,13,138,4,2,6,2.8,True,False,True,564000,"193 Boulevard Tahar Sfar, Apt. 22, Tunis, Tunisia",Médina,Basic,D,,2022-09-27,4087
Kasserine,120,35.19384338450633,8.851532256980178,House,5,252,5,3,0,3.0,False,True,False,794000,"76 Impasse Ibn Khaldoun, Kasserine, Tunisia",,Premium,C,,2022-03-22,3151
Ariana,350,36.8626185909986,10.186994199700914,Villa,5,399,5,3,0,1.9,False,True,True,4648000,"185 Boulevard El Ghazela, Ariana, Tunisia",,Luxury,D,,2023-01-14,11649
Tunis,634,36.818356620697834,10.158335647174153,Apartment,2,114,1,2,4,1.1,False,False,False,423000,"46 Place El Ghazela, Tunis, Tunisia",Carthage,Good,C,,2023-05-25,3711
Gafsa,120,34.42413845030219,8.775816169713517,Apartment,22,139,4,2,1,11.0,False,False,True,160000,"77 Place Abou Hamed El Ghazali, Apt. 10, Gafsa, Tunisia",Quartier Jardins,Standard,E,2009.0,2024-01-19,1151
Gafsa,120,34.44642679425513,8.759600151363635,House,26,255,2,2,0,7.8,False,True,True,463000,"196 Avenue Mokhtar Attia, Gafsa, Tunisia",,Basic,E,2015.0,2022-06-11,1816
Sfax,330,34.74324074378592,10.772333179053332,Studio,4,57,0,1,3,5.2,True,False,True,64000,"1 Place Gremda, Apt. 2, Sfax, Tunisia",Afran,Basic,D,,2022-08-29,1123
Ben Arous,600,36.7525508993762,10.207570151508136,Apartment,10,155,1,1,4,5.3,True,False,True,316000,"93 Boulevard Ibn Khaldoun, Apt. 16, Ben Arous, Tunisia",,Standard,A,,2023-08-17,2039
